categoria,nombre,sexo,UltimaFormacionAcademica,NodoHijo,nodo_padre,Titulo_proyecto,año
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Trabajos de grado de pregrado,Formación del Recurso Humano,Diseño de un sistema de rutas para la prestación del servicio de recolección y entrega de muestras biológicas en el área metropolitana Corporación Universitaria Americana,2020
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Diseño de una hoja de ruta para la evaluación comercial de resultados de investigación de la Corporación Universitaria Lasallista. Caso Grupo de Investigación en Ingeniería Industrial-G-3IN- UNIVERSIDAD DE ANTIOQUIA,2015
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Trabajos de grado de pregrado,Formación del Recurso Humano,DISEÑO DE UN SISTEMA DE RUTAS PARA LA PRESTACIÓN DE SERVICIOS DE RECOLECCIÓN Y ENTREGA DE MUESTRAS BIOLÓGICAS Corporación Universitaria Americana,2019
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Evaluación del desarrollo de las habilidades sociales en estudiantes bachilleres posterior a la aplicación de la metodología Aprendizaje Basado en Retos Corporación Universitaria Adventista,2019
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Implementación de las Tic en la Enseñanza del Área de Educación Religiosa y su Incidencia en la Motivación de los Estudiantes en la Institución Educativa San José de Marinilla Corporación Universitaria Adventista,2023
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Consultoría Científico Tecnológica e Informe Técnico,Divulgación Pública de la Ciencia,DESARROLLO DE PROTOTIPO CAJA REFRIGERANTE PARA CADENA DE FRIO,2014
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Consultoría Científico Tecnológica e Informe Técnico,Divulgación Pública de la Ciencia,SISTEMA DE GESTIÓN LOGÍSTICO LÁCTEOS BUENOS AIRES,2020
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Consultoría Científico Tecnológica e Informe Técnico,Divulgación Pública de la Ciencia,Diseño de una estructura de digitalización en la cadena logística de la empresa Vitarrico: Fase I: DIAGNOSTICO DE LA CADENA LOGISTICA,2019
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Consultoría Científico Tecnológica e Informe Técnico,Divulgación Pública de la Ciencia,ANALISIS BIOECONOMICO PARA EL ESTUDIO SOBRE BIOECONOMIA COMO FUENTE DE NUEVAS INDUSTRIAS BASADAS EN EL CAPITAL NATURAL DE COLOMBIA CONTRATO n 1240667 BANCO MUNDIAL FASE 1 Y FASE 2,2017
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Consultoría Científico Tecnológica e Informe Técnico,Divulgación Pública de la Ciencia,HACIA UNA HOJA DE RUTA SPIN OFF: Un camino para la creación de spin-off universitarias en Colombia,2015
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Consultoría Científico Tecnológica e Informe Técnico,Divulgación Pública de la Ciencia,Transferencia de tecnologías en salud intestinal para la empresa Premex S.A.,2016
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Consultoría Científico Tecnológica e Informe Técnico,Divulgación Pública de la Ciencia,Proyectos en colaboración para la transferencia y comercialización de tecnologías con Colcafe-Nutresa S.A,2016
